player,source,stage,group_name,home_team,away_team,kickoff_utc,predicted_score,pick,actual_score,result,pick_correct,exact_score,points,running_points,total_match_points,champion_bonus,overall_points,matches_scored,correct_picks,exact_scores
Model,pele,group,E,Germany,Ivory Coast,2026-06-20T20:00:00+00:00,1-0,home,2-1,home,1,0,1,22,65,8,73,81,43,11
Me,harry,group,E,Germany,Ivory Coast,2026-06-20T20:00:00+00:00,2-0,home,2-1,home,1,0,1,20,68,5,73,81,46,11
Market,crowd,group,G,Belgium,Iran,2026-06-21T19:00:00+00:00,2-0,home,0-0,draw,0,0,0,26,61,10,71,81,45,8
Model,pele,group,G,Belgium,Iran,2026-06-21T19:00:00+00:00,1-0,home,0-0,draw,0,0,0,22,65,8,73,81,43,11
Me,harry,group,G,Belgium,Iran,2026-06-21T19:00:00+00:00,2-0,home,0-0,draw,0,0,0,20,68,5,73,81,46,11
Market,crowd,group,H,Uruguay,Cape Verde,2026-06-21T22:00:00+00:00,1-0,home,2-2,draw,0,0,0,26,61,10,71,81,45,8
Model,pele,group,H,Uruguay,Cape Verde,2026-06-21T22:00:00+00:00,1-0,home,2-2,draw,0,0,0,22,65,8,73,81,43,11
Me,harry,group,H,Uruguay,Cape Verde,2026-06-21T22:00:00+00:00,2-0,home,2-2,draw,0,0,0,20,68,5,73,81,46,11
Market,crowd,group,G,New Zealand,Egypt,2026-06-22T01:00:00+00:00,0-2,away,1-3,away,1,0,1,27,61,10,71,81,45,8
Model,pele,group,G,New Zealand,Egypt,2026-06-22T01:00:00+00:00,0-1,away,1-3,away,1,0,1,23,65,8,73,81,43,11
Me,harry,group,G,New Zealand,Egypt,2026-06-22T01:00:00+00:00,1-2,away,1-3,away,1,0,1,21,68,5,73,81,46,11
Market,crowd,group,J,Jordan,Algeria,2026-06-23T03:00:00+00:00,1-0,home,1-2,away,0,0,0,27,61,10,71,81,45,8
Model,pele,group,J,Jordan,Algeria,2026-06-23T03:00:00+00:00,1-0,home,1-2,away,0,0,0,23,65,8,73,81,43,11
Me,harry,group,J,Jordan,Algeria,2026-06-23T03:00:00+00:00,1-0,home,1-2,away,0,0,0,21,68,5,73,81,46,11
Market,crowd,group,K,Portugal,Uzbekistan,2026-06-23T17:00:00+00:00,3-0,home,5-0,home,1,0,1,28,61,10,71,81,45,8
Model,pele,group,K,Portugal,Uzbekistan,2026-06-23T17:00:00+00:00,1-0,home,5-0,home,1,0,1,24,65,8,73,81,43,11
Me,harry,group,K,Portugal,Uzbekistan,2026-06-23T17:00:00+00:00,3-0,home,5-0,home,1,0,1,22,68,5,73,81,46,11
